                                                                                            
{'loss': '0.9163', 'grad_norm': '0.6172', 'learning_rate': '1.451e-05', 'entropy': '0.9025', 'num_tokens': '5.792e+05', 'mean_token_accuracy': '0.7973', 'epoch': '0.3532'}
{'loss': '0.8849', 'grad_norm': '0.6614', 'learning_rate': '1.428e-05', 'entropy': '0.8734', 'num_tokens': '5.969e+05', 'mean_token_accuracy': '0.8015', 'epoch': '0.3639'}
{'loss': '0.8861', 'grad_norm': '0.9471', 'learning_rate': '1.404e-05', 'entropy': '0.8691', 'num_tokens': '6.144e+05', 'mean_token_accuracy': '0.805', 'epoch': '0.3746'}
{'loss': '0.8983', 'grad_norm': '0.745', 'learning_rate': '1.38e-05', 'entropy': '0.8565', 'num_tokens': '6.32e+05', 'mean_token_accuracy': '0.802', 'epoch': '0.3853'}
{'loss': '0.8708', 'grad_norm': '0.7032', 'learning_rate': '1.356e-05', 'entropy': '0.8657', 'num_tokens': '6.493e+05', 'mean_token_accuracy': '0.8059', 'epoch': '0.396'}
{'loss': '0.8961', 'grad_norm': '0.7007', 'learning_rate': '1.332e-05', 'entropy': '0.8649', 'num_tokens': '6.67e+05', 'mean_token_accuracy': '0.8031', 'epoch': '0.4067'}
{'loss': '0.9191', 'grad_norm': '0.7646', 'learning_rate': '1.308e-05', 'entropy': '0.9073', 'num_tokens': '6.845e+05', 'mean_token_accuracy': '0.7961', 'epoch': '0.4174'}
{'loss': '0.9194', 'grad_norm': '0.6688', 'learning_rate': '1.284e-05', 'entropy': '0.8944', 'num_tokens': '7.02e+05', 'mean_token_accuracy': '0.7989', 'epoch': '0.4282'}
{'loss': '0.8903', 'grad_norm': '0.6538', 'learning_rate': '1.26e-05', 'entropy': '0.8914', 'num_tokens': '7.195e+05', 'mean_token_accuracy': '0.8019', 'epoch': '0.4389'}
{'loss': '0.8976', 'grad_norm': '0.7275', 'learning_rate': '1.236e-05', 'entropy': '0.8867', 'num_tokens': '7.378e+05', 'mean_token_accuracy': '0.8019', 'epoch': '0.4496'}
{'loss': '0.9148', 'grad_norm': '0.9467', 'learning_rate': '1.212e-05', 'entropy': '0.8801', 'num_tokens': '7.554e+05', 'mean_token_accuracy': '0.7927', 'epoch': '0.4603'}
{'loss': '0.8826', 'grad_norm': '0.7114', 'learning_rate': '1.188e-05', 'entropy': '0.878', 'num_tokens': '7.724e+05', 'mean_token_accuracy': '0.8048', 'epoch': '0.471'}
{'loss': '0.9115', 'grad_norm': '0.6694', 'learning_rate': '1.164e-05', 'entropy': '0.8983', 'num_tokens': '7.901e+05', 'mean_token_accuracy': '0.796', 'epoch': '0.4817'}
